"5","一葉一環　(2019)","自然の中には、しばしば、規則性を持った理想的な秩序が存在していると言われている。
私の制作は、自然というカオスの中から、理想的な秩序へ形態を整える。
公園に植えられた葉っぱの形をチョイスし、それを真鍮の板へ置き換え、螺旋を描く幾何学へと順序を並べ鑞付けで形成した。
人工の素材でコピーして作られた人工的な幾何学によって整えられつつも、鑞付けの熱によって真鍮の葉は歪み、個性や色を持ったそれぞれ違った
形の葉として生まれ変わり、劣化した金属の表情は、自然に寄り添った人工の姿となる。

素材：真鍮、陶
サイズ：直径70cm前後
展示：トロールの森2019　善福寺公園（荻窪）","5","2019-11-01 08:28:01","2020-03-18 08:28:01"
"6","Ornament spectacle (2019)","西洋と東洋、異なる文化をもつ国々を、世界に点在にする装飾文様と自然の描く模様の原理を用い原始的なイメージに還元する。
唐草文様は世界各地にある装飾だ。
その装飾を生成させるように新たな造形イメージを数理や自然のもつ文様になぞらえながら、太古的なイメージへと還元を測り、異なる文化を結びつける。
モチーフは、観られる芸術に付随した装飾物である、絵画の額縁と掛軸を用いる。
それらは共に西洋と東洋の象徴となる。
そこに施されている唐草文様を、型取り、陶や金属といった物質に置き換え、それらから中間のもう一つの文化、幾何学と調和を基にしたイスラム装飾芸術のパターンをモデルに、西洋、中東、東洋を一つのイメージへと還元する試み。

素材：額縁, 掛軸, 陶, 真鍮, その他
全体サイズ：100 × 150 × 10cm","5","2019-01-01 08:35:29","2020-03-18 08:35:29"
"8","自然学のスタディ~ 薔薇と事物の遊戯~ (2018)","植物の薔薇をモチーフとして、ロココやバロック的な装飾や実際の薔薇の形態を用いて、それぞれ陶や鋳物の物質へ変換する。
それらの断片を、フィボナッチ数列をベースとした葉序の螺旋パターンの図像で構成する。
金属の光を放つ植物、人工と自然の中間的なイメージである装飾、お互いを混ぜ合わせることで、数学的な世界で構成されたメルヒェン（幻想）的な世界を作り出す。
ヒトの自然に対する永遠の理想t 儚さを孕みながら、かつて我々が無秩序な自然の中に内包された一部であるということを想起させる。

素材：オルゴール, 陶, 真鍮
サイズ：60 × 130 × 110cm","5","2018-07-09 06:03:57","2020-03-19 06:03:57"
"9","無名の眼差し 　(2018)","過去につくられたものの装飾の断片を、陶など原始的な物資に置き換え、植物の構造をモチーフに造形を行ってきた。
今回は、薔薇の装飾を施したオルゴールをモチーフに制作をしている。
薔薇という優雅で華やかそうな表層を支える葉や枝という地味な存在を、数学や幼女といった秩序を持った科学的図像に整列させることによって、私たちが気づかない支えている「構造」に眼差しを向かわす。
真鍮でつくられた薔薇の小枝・葉は、実際の薔薇の形を鋳造している。
オルゴールから芽吹くような形で構成した。","5","2018-03-23 06:09:50","2020-03-19 06:09:50"
"10","装飾の億土　~ 縄文・植物・フラクタル~(2017)","縄文の文様を用いて、フィボナッチ数列やフラクタルなど数理を用いた形態へ造形する。","5","2017-09-04 06:20:31","2020-03-19 06:20:31"
"11","装飾の億土 - 蓮-  (2017)","江戸時代の佇まいを残す小須戸の町屋街。
その中にある酒屋を改装したギャラリー薩摩屋。
そこにあったタンスの引き戸の飾り金具、蓮のような形に惹き込まれた。
いつの時代に作られたかわかりませんが、蓮の飾り金具のイメージは、仏教の信仰のイメージを湧き上がらせます。
信仰の思いが様々なものに断片化していったのではないでしょうか。
普段、気づかないこのタン鳩サブレの飾りを主人公に、蓮の花が咲くように生を与えるような形態を作り出したい。
植物のもつ葉序の法則を元に、螺旋や花の形を元に陶で制作を行った。
円型の作品は、葉序の法則８つ螺旋と１３の螺旋を描いている。
またタイルのような蓮の歯並びらは、がえんの蓮の先に真四角に配置することによって曼荼羅を思わせる配置をしている。

装飾の億土 - 蓮-(2017)
素材：薩摩屋の箪笥　陶　その他
小須戸ART プロジェクト2017
蔵にインスタレーション","5","2017-09-23 06:25:05","2020-03-19 06:25:05"
"12","手紙 - 小須戸・木瓜・雪-  (2017)","小須戸の産物として有名なボケ。
ボケ公園の木瓜の木は春になると一斉にボケ花が咲き乱れるが、夏のボケ公園は緑の葉でいっぱいになる。
一見地味のようだが、普段はあまり人にみられることのないボケだが、トゲがあったり葉のつきかたには、ボケの花らしい特徴がある。
誰かに忘れされてしまいそうな夏の枝木を採集し、そのままで現物を石膏で囲い、焼成し、その型に金属を流し込み写し取った。
雪の結晶のかたちと組み合わせて作品化した。

素材：真鍮, アルミ, その他
サイズ：　左:35 × 40 × 5cm
　　　　　中:60 × 70 × 5cm
　　　　　右:18 × 26 × 5cm","5","2017-09-23 06:25:05","2020-03-19 06:44:56"
"13","残滓の脈  (2017)","素材 ：陶
サイズ: 190 × 205 × 53cm","op","2017-03-23 06:25:05","2020-03-19 08:20:12"
"14","restoration fractal peace  (2017)
","素材 ：陶, 金属取っ手, 木
サイズ: 21 × 200 × 6.5cm","op","2017-03-23 06:25:05","2020-03-20 09:20:22"
"15","restoration plants  (2017)
","素材 ：陶, 金属取っ手, 木
サイズ: 45 × 49 × 9cm","op","2017-03-23 06:25:05","2020-03-24 10:41:49"
